ID	Bike_Name	bike_model_year	Bike_Currency	Bike_Price	bike_power_cc	bike_power_watt	bike_type	bike_distance	condition
312	 Honda Aviator	2017	Rs. 	113300.0	110		Scooter	20,707 km	Used
313	 Yamaha Ray ZR Street Rally 113	2019	Rs. 	115000.0	113		Scooter	16,000 km	Used
314	 Honda Aviator	2018	Rs. 	115000.0	110		Scooter	33,000 km	Used
315	 Hero Super Splendor	2019	Rs. 	115000.0	125		Commuter	17,000 km	Used
316	 TVS Apache RTR 200 4V	2016	Rs. 	115000.0	198		Sports	38,000 km	
317	 Bajaj Pulsar NS 200	2017	Rs. 	115000.0	200		Sports Naked	10 km	Used
318	 Yamaha SZ-RR	2020	Rs. 	115000.0	149		Commuter	35,000 km	Used
319	 Honda Aviator	2018	Rs. 	115000.0	110		Scooter	33,000 km	Like new
320	 Hero XTreme 200R	2019	Rs. 	115000.0	199		Commuter	23,000 km	Used
321	 Yamaha FZS V2	2015	Rs. 	118000.0	149		Sports Naked	53,540 km	Used
322	 TVS Apache RTR 200 4V	2018	Rs. 	119000.0	198		Sports	0 km	Used
323	 Bajaj Pulsar 150	2016	Rs. 	119000.0	150		Sports Naked	39,000 km	Used
324	 Bajaj Pulsar 150	2017	Rs. 	119000.0	150		Sports Naked	23,000 km	Used
325	 TVS Stryker 125	2018	Rs. 	119999.0	125		Commuter	12,000 km	Used
326	 Aprilia SR 150	2018	Rs. 	120000.0	150		Scooter	0 km	Used
327	 Bajaj Pulsar NS 200 ABS	2014	Rs. 	120000.0	200		Sports Naked	45,000 km	Used
328	 TVS Apache RTR 200 4V	2018	Rs. 	120000.0	198		Sports	46,000 km	Used
329	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	30,000 km	Used
330	 Bajaj Pulsar NS 200	2017	Rs. 	120000.0	200		Sports Naked	21,000 km	Used
331	 Yamaha FZS V2	2016	Rs. 	120000.0	149		Sports Naked	32 km	Used
332	 CFMoto 150NK	2018	Rs. 	120000.0	150		Sports Naked	20,000 km	Used
333	 Bajaj Pulsar 150	2024	Rs. 	120000.0	150		Sports Naked	18,000 km	Used
334	 Honda XBlade	2017	Rs. 	120000.0	163		Sports Naked	34,500 km	Used
335	 Bajaj Pulsar 220F	2017	Rs. 	120000.0	220		Sports	0 km	Used
336	 Honda Dio	2017	Rs. 	120000.0	110		Scooter	27,000 km	Used
337	 Honda Dio	2017	Rs. 	120000.0	110		Scooter	27,000 km	
338	 Benelli TNT 150i	2019	Rs. 	120000.0	148		Sports Naked	30,000 km	Used
339	 Aprilia SR 150	2018	Rs. 	120000.0	150		Scooter	25,500 km	Used
340	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	37,000 km	Like new
341	 Bajaj Pulsar NS 200	2012	Rs. 	120000.0	200		Sports Naked	52,000 km	Used
342	 Suzuki Gixxer 150	2014	Rs. 	120000.0	155		Sports	1,25,000 km	Used
343	 Bajaj Pulsar 150	2016	Rs. 	120000.0	150		Sports Naked	70,000 km	Used
344	 Aprilia SR 150	2018	Rs. 	120000.0	150		Scooter	0 km	Used
345	 Bajaj Pulsar 150TD	2018	Rs. 	120000.0	150		Commuter	38,000 km	Used
346	 Bajaj Pulsar 220F	2017	Rs. 	120000.0	220		Sports	30,000 km	Used
347	 Aprilia SR 150	2018	Rs. 	120000.0	150		Scooter	25,500 km	Used
348	 Bajaj Pulsar 220F	2017	Rs. 	120000.0	220		Sports	0 km	Like new
349	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	30,000 km	Used
350	 Bajaj Pulsar NS 200	2017	Rs. 	120000.0	200		Sports Naked	21,000 km	Used
351	 Suzuki GN 125	1997	Rs. 	120000.0	124		Commuter	50,000 km	Used
352	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	61,000 km	Brand new
353	 Benelli TNT 15	2020	Rs. 	120000.0	148		Commuter	29,000 km	Like new
354	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	24,000 km	Used
355	 Bajaj Pulsar 150	2024	Rs. 	120000.0	150		Sports Naked	18,000 km	Used
356	 Bajaj Avenger 150 Street	2020	Rs. 	120000.0	150		Cruiser	18,000 km	Used
357	 TVS Stryker 125	2019	Rs. 	120000.0	125		Commuter	65,000 km	Used
358	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	41,000 km	
359	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	24,000 km	Used
360	 Bajaj Avenger 150 Street	2020	Rs. 	120000.0	150		Cruiser	18,000 km	Used
361	 Bajaj Pulsar 150TD	2018	Rs. 	120000.0	150		Commuter	38,000 km	Used
362	 Suzuki Gixxer 150	2014	Rs. 	120000.0	155		Sports	1,25,000 km	Used
363	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	65,000 km	Used
364	 Bajaj Pulsar 150	2017	Rs. 	120000.0	150		Sports Naked	30,000 km	Used
365	 TVS Apache RTR 160 4V	2018	Rs. 	120000.0	160		Sports	85,000 km	Used
366	 Yamaha FZ 25	2017	Rs. 	120000.0	249		Sports Naked	48,000 km	Used
367	 Bajaj Pulsar NS 200 ABS	2014	Rs. 	120000.0	200		Sports Naked	45,000 km	Used
368	 Suzuki Gixxer 150	2017	Rs. 	120000.0	155		Sports	30,000 km	Used
369	 Yamaha SZ-RR	2020	Rs. 	120000.0	149		Commuter	29,000 km	Used
370	 Bajaj Pulsar 150	2024	Rs. 	120000.0	150		Sports Naked	18,000 km	Used
371	 Bajaj Avenger 150 Street	2017	Rs. 	122000.0	150		Cruiser	24,500 km	Used
372	 Suzuki Access 125	2019	Rs. 	122000.0	124		Scooter	32,000 km	Used
373	 Bajaj Discover 125 ST	2019	Rs. 	125000.0	125		Commuter	39,120 km	Used
374	 Honda Dio	2017	Rs. 	125000.0	110		Scooter	48,000 km	Used
375	 Yamaha SZ-RR	2020	Rs. 	125000.0	149		Commuter	35,000 km	Used
376	 Aprilia Storm 125	2020	Rs. 	125000.0	125		Scooter	10,000 km	Used
377	 Hero Splendor	2024	Rs. 	125000.0	98		Commuter	29 km	Used
378	 Bajaj Pulsar 220F	2017	Rs. 	125000.0	220		Sports	63,000 km	Used
379	 Yamaha Saluto	2017	Rs. 	125000.0	125		Commuter	32,000 km	
380	 Honda Dio	2017	Rs. 	125000.0	110		Scooter	27,000 km	Like new
381	 Hero Splendor	2024	Rs. 	125000.0	98		Commuter	29 km	Used
382	 Yamaha FZS V2	2014	Rs. 	125000.0	149		Sports Naked	30,509 km	Used
383	 Bajaj V15	2017	Rs. 	125000.0	150		Commuter	35,000 km	Used
384	 Honda Dio	2017	Rs. 	125000.0	110		Scooter	26,200 km	Like new
385	 Yamaha FZS V2	2015	Rs. 	125000.0	149		Sports Naked	35,000 km	Used
386	 Bajaj Pulsar NS 200	2016	Rs. 	125000.0	200		Sports Naked	30,000 km	Like new
387	 Aprilia SR 125	2020	Rs. 	125000.0	125		Scooter	40,000 km	Used
388	 Honda CB Unicorn 160	2020	Rs. 	125000.0	163		Commuter	18,000 km	Used
389	 Yamaha FZS V2	2015	Rs. 	125000.0	149		Sports Naked	0 km	Used
390	 Yamaha SZ-RR	2020	Rs. 	125000.0	149		Commuter	35,000 km	Used
391	 Bajaj Pulsar 150	2017	Rs. 	125000.0	150		Sports Naked	68,000 km	Used
392	 Aprilia Storm 125	2020	Rs. 	125000.0	125		Scooter	10,000 km	Used
393	 Bajaj Discover 125 ST	2019	Rs. 	125000.0	125		Commuter	39,120 km	Used
394	 Yamaha R15 V2	2015	Rs. 	125000.0	149		Sports	35,000 km	Used
395	 TVS Apache RTR 160 2V	2015	Rs. 	125000.0	160		Sports	60,000 km	Used
396	 Honda CB Hornet 160R	2016	Rs. 	125000.0	163		Sports Naked	30,000 km	Used
397	 Yamaha FZS V1	2015	Rs. 	126000.0				49,790 km	Used
398	 Yamaha FZS V2	2015	Rs. 	126000.0	149		Sports Naked	4,690 km	Used
399	 Honda Dio	2018	Rs. 	126000.0	110		Scooter	59,800 km	Used
400	 Aprilia SR 125	2018	Rs. 	127000.0	125		Scooter	24,000 km	
401	 Honda CB Hornet 160R	2018	Rs. 	127000.0	163		Sports Naked	19,000 km	Used
402	 Yamaha R15 V1	2016	Rs. 	129000.0	149		Sports	45,000 km	Used
403	 Yamaha Ray ZR Street Rally 113	2019	Rs. 	129999.0	113		Scooter	22,000 km	Used
404	 Yamaha FZ V2	2017	Rs. 	130000.0	149		Sports Naked	33,000 km	Used
405	 Suzuki Gixxer 150	2019	Rs. 	130000.0	155		Sports	37,000 km	Used
406	 TVS Ntorq 125 Disc	2018	Rs. 	130000.0	125		Scooter	37,621 km	Used
407	 Bajaj Pulsar 220F	2017	Rs. 	130000.0	220		Sports	50,000 km	Used
408	 Bajaj Pulsar 125	2020	Rs. 	130000.0	125		Sports Naked	36,000 km	Used
409	 UM Renegade Commando	2014	Rs. 	130000.0				16,000 km	Used
410	 Aprilia SR 150	2018	Rs. 	130000.0	150		Scooter	10,000 km	Used
411	 TVS Apache RTR 160 4V	2019	Rs. 	130000.0	160		Sports	52,000 km	Used
412	 Honda Dio BS6	2018	Rs. 	130000.0	110		Scooter	42,000 km	Used
413	 Aprilia SR 125	2019	Rs. 	130000.0	125		Scooter	15,000 km	Used
414	 Bajaj Pulsar 150	2018	Rs. 	130000.0	150		Sports Naked	54,000 km	Used
415	 Honda CB Shine	2016	Rs. 	130000.0	124		Commuter	20,000 km	Used
416	 Honda Grazia BS6	2019	Rs. 	130000.0	124		Scooter	138 km	Used
417	 Bajaj Pulsar NS 200	2016	Rs. 	130000.0	200		Sports Naked	7,000 km	Used
418	 Honda Dio	2020	Rs. 	130000.0	110		Scooter	22,000 km	Used
419	 Bajaj Pulsar 150	2019	Rs. 	130000.0	150		Sports Naked	14,000 km	Used
420	 TVS Ntorq 125 Disc	2020	Rs. 	130000.0	125		Scooter	375 km	Used
421	 Bajaj Pulsar NS 200	2018	Rs. 	130000.0	200		Sports Naked	43,000 km	
422	 Bajaj Pulsar 150	2018	Rs. 	130000.0	150		Sports Naked	54,000 km	Used
423	 Honda Dio	2020	Rs. 	130000.0	110		Scooter	22,000 km	Used
424	 Bajaj Pulsar 150	2019	Rs. 	130000.0	150		Sports Naked	14,000 km	Used
425	 Suzuki Gixxer 150	2019	Rs. 	130000.0	155		Sports	37,000 km	Used
426	 TVS Ntorq 125 Disc	2020	Rs. 	130000.0	125		Scooter	375 km	Used
427	 TVS Apache RTR 200 4V	2017	Rs. 	130000.0	198		Sports	37,000 km	Used
428	 Honda CB Shine	2016	Rs. 	130000.0	124		Commuter	20,000 km	Used
429	 Bajaj Pulsar 180	2012	Rs. 	130000.0	179		Sports	64,000 km	Used
430	 Bajaj NS 200 FI ABS	2017	Rs. 	130000.0	200		Sports Naked	5,600 km	Used
431	 TVS Apache RTR 180 2V	2018	Rs. 	130000.0	178		Sports	29,000 km	Like new
432	 Yamaha Ray ZR 125 FI	2020	Rs. 	132000.0	125		Scooter	30,000 km	Used
433	 Aprilia SR 125	2019	Rs. 	133000.0	125		Scooter	24,000 km	Used
434	 Honda Dio	2019	Rs. 	135000.0	110		Scooter	40,000 km	Used
435	 Yamaha Fascino 125 FI	2020	Rs. 	135000.0	125		Scooter	17,200 km	Used
436	 Suzuki Burgman	2019	Rs. 	135000.0	124		Scooter	16,900 km	Like new
437	 Bajaj Pulsar 220F	2017	Rs. 	135000.0	220		Sports	0 km	Used
438	 Bajaj Pulsar 220F	2016	Rs. 	135000.0	220		Sports	35,000 km	Used
439	 TVS Radeon	2021	Rs. 	135000.0	110		Commuter	10,500 km	Used
440	 Hero Super Splendor	2019	Rs. 	135000.0	125		Commuter	27,000 km	Like new
441	 Yamaha FZS V2	2017	Rs. 	135000.0	149		Sports Naked	35,000 km	Like new
442	 Yamaha Fascino 125 FI	2020	Rs. 	135000.0	125		Scooter	17,200 km	
443	 Honda XBlade	2018	Rs. 	135000.0	163		Sports Naked	24,000 km	Like new
444	 Suzuki Burgman	2019	Rs. 	135000.0	124		Scooter	16,900 km	Like new
445	 Bajaj Pulsar 150	2017	Rs. 	135000.0	150		Sports Naked	33,000 km	Used
446	 TVS Apache RTR 200 4V	2018	Rs. 	135000.0	198		Sports	46,000 km	Used
447	 TVS Ntorq 125 Drum	2021	Rs. 	135000.0	125		Scooter	31,000 km	Used
448	 TVS Radeon	2021	Rs. 	135000.0	110		Commuter	10,500 km	Used
449	 Hero Super Splendor	2019	Rs. 	135000.0	125		Commuter	27,000 km	Like new
450	 Bajaj Pulsar NS 200	2016	Rs. 	135000.0	200		Sports Naked	28,000 km	Like new
451	 Yamaha FZS V2	2017	Rs. 	135000.0	149		Sports Naked	17,000 km	Like new
452	 Bajaj Pulsar 220F	2017	Rs. 	135000.0	220		Sports	0 km	Used
453	 Yamaha FZ 25	2018	Rs. 	135000.0	249		Sports Naked	32,000 km	Used
454	 Bajaj Pulsar 150TD	2018	Rs. 	135000.0	150		Commuter	29,000 km	Used
455	 Bajaj Pulsar NS 200	2018	Rs. 	135000.0	200		Sports Naked	62,500 km	Used
456	 TVS Apache RTR 200 4V	2018	Rs. 	135000.0	198		Sports	40,000 km	Used
457	 Yamaha FZ V2	2017	Rs. 	137000.0	149		Sports Naked	29,000 km	Used
458	 Bajaj Pulsar 220F	2018	Rs. 	137999.0	220		Sports	41,805 km	Used
459	 Bajaj Pulsar 220F	2017	Rs. 	138000.0	220		Sports	22,000 km	Used
460	 Bajaj Pulsar 220F	2017	Rs. 	138000.0	220		Sports	53,000 km	Used
461	 Honda Dio	2018	Rs. 	138000.0	110		Scooter	31,000 km	Used
462	 Honda Dio	2018	Rs. 	139000.0	110		Scooter	22,000 km	Used
463	 Honda CB Shine	2018	Rs. 	139000.0	124		Commuter	15,000 km	
464	 Bajaj Pulsar 220F	2017	Rs. 	139000.0	220		Sports	0 km	Used
465	 Bajaj Pulsar 150	2018	Rs. 	140000.0	150		Sports Naked	27,000 km	Used
466	 Bajaj Pulsar 150TD	2018	Rs. 	140000.0	150		Commuter	39,000 km	Used
467	 Aprilia SR 150	2021	Rs. 	140000.0	150		Scooter	7,469 km	Used
468	 Bajaj Pulsar 220F	2016	Rs. 	140000.0	220		Sports	24,000 km	Like new
469	 Yamaha SZ-RR	2018	Rs. 	140000.0	149		Commuter	30,000 km	Used
470	 Honda Grazia BS4	2018	Rs. 	140000.0	124		Scooter	44,475 km	Used
471	 Bajaj Avenger 180 Street	2018	Rs. 	140000.0	180		Cruiser	32,000 km	Used
472	 Yamaha FZS V2	2016	Rs. 	140000.0	149		Sports Naked	35,000 km	Used
473	 Hero Glamour	2019	Rs. 	140000.0	125		Commuter	40,000 km	Used
474	 Bajaj Pulsar 220F	2017	Rs. 	140000.0	220		Sports	62,000 km	Used
475	 Yamaha FZS V2	2018	Rs. 	140000.0	149		Sports Naked	41,000 km	Like new
476	 TVS Apache RTR 160 2V	2018	Rs. 	140000.0	160		Sports	10,000 km	Used
477	 Aprilia SR 125	2020	Rs. 	140000.0	125		Scooter	24,000 km	Used
478	 Honda Grazia BS4	2019	Rs. 	140000.0	124		Scooter	42,000 km	Like new
479	 Bajaj Avenger 220 Cruise	2018	Rs. 	140000.0	220		Cruiser	90,000 km	Used
480	 Yamaha Fascino 125 FI	2020	Rs. 	140000.0	125		Scooter	30,000 km	Like new
481	 Yamaha Ray ZR	2017	Rs. 	140000.0	113		Scooter	26,000 km	Used
482	 Aprilia SR 125	2018	Rs. 	140000.0	125		Scooter	23,047 km	Used
483	 Yamaha FZS V2	2017	Rs. 	140000.0	149		Sports Naked	33,000 km	Used
484	 Honda Dio	2018	Rs. 	140000.0	110		Scooter	37,000 km	
485	 Bajaj Pulsar NS 200	2017	Rs. 	140000.0	200		Sports Naked	40,000 km	Used
486	 TVS Apache RTR 160 2V	2018	Rs. 	140000.0	160		Sports	10,000 km	Used
487	 Aprilia SR 150	2019	Rs. 	140000.0	150		Scooter	21,000 km	Used
488	 Aprilia Storm 125	2021	Rs. 	140000.0	125		Scooter	15,000 km	Used
489	 Bajaj Avenger 220 Cruise	2018	Rs. 	140000.0	220		Cruiser	90,000 km	Like new
490	 Yamaha Ray ZR	2017	Rs. 	140000.0	113		Scooter	26,000 km	Like new
491	 Yamaha FZS V2	2018	Rs. 	142000.0	149		Sports Naked	33,000 km	Used
492	 Aprilia SR 125	2020	Rs. 	143000.0	125		Scooter	24,000 km	Used
493	 Yamaha Fascino 125 FI	2020	Rs. 	144000.0	125		Scooter	14,367 km	Used
494	 Hero XTreme 200R	2018	Rs. 	145000.0	199		Commuter	25,000 km	Used
495	 TVS Ntorq 125 Disc	2019	Rs. 	145000.0	125		Scooter	34,000 km	Used
496	 Bajaj Pulsar 150TD	2019	Rs. 	145000.0	150		Commuter	59,000 km	Used
497	 Benelli TNT 150i	2019	Rs. 	145000.0	148		Sports Naked	35,000 km	Like new
498	 Honda Dio	2019	Rs. 	145000.0	110		Scooter	0 km	Used
499	 TVS Apache RTR 200 4V	2017	Rs. 	145000.0	198		Sports	35,000 km	Used
500	 Bajaj Pulsar NS 200	2018	Rs. 	145000.0	200		Sports Naked	31,000 km	Used
501	 Bajaj Pulsar 220F	2017	Rs. 	145000.0	220		Sports	60,000 km	Used
502	 TVS Apache RTR 160 2V	2016	Rs. 	145000.0	160		Sports	3,600 km	Used
503	 TVS Ntorq 125 Race Edition	2020	Rs. 	145000.0	125		Scooter	35,000 km	Used
504	 Bajaj Discover 125 ST	2021	Rs. 	145000.0	125		Commuter	9,400 km	Used
505	 TVS Ntorq 125 Race Edition	2020	Rs. 	145000.0	125		Scooter	35,000 km	
506	 Honda CB Shine	2018	Rs. 	145000.0	124		Commuter	26,400 km	Used
507	 TVS Apache RTR 160 2V	2016	Rs. 	145000.0	160		Sports	3,600 km	Used
508	 TVS Ntorq 125 Disc	2019	Rs. 	145000.0	125		Scooter	32,000 km	Used
509	 Aprilia SR 125	2021	Rs. 	145000.0	125		Scooter	13,600 km	Used
510	 Bajaj Pulsar 150	2019	Rs. 	147000.0	150		Sports Naked	14,000 km	Used
511	 Yamaha FZ 25	2017	Rs. 	148000.0	249		Sports Naked	0 km	Used
512	 Yamaha FZS V2	2017	Rs. 	148000.0	149		Sports Naked	35,000 km	Used
513	 Honda CB Shine SP	2018	Rs. 	148000.0	124		Commuter	65,000 km	Used
514	 Aprilia SR 150	2020	Rs. 	148500.0	150		Scooter	19,000 km	Like new
515	 Yamaha FZ 25	2017	Rs. 	149000.0	249		Sports Naked	35,000 km	Used
516	 Yamaha FZS V2	2016	Rs. 	149000.0	149		Sports Naked	25,000 km	Used
517	 Honda CB Unicorn 150	2020	Rs. 	149000.0	150		Commuter	15,000 km	Used
518	 Benelli TNT 150i	2021	Rs. 	150000.0	148		Sports Naked	22,000 km	Used
519	 Bajaj Pulsar 150	2018	Rs. 	150000.0	150		Sports Naked	23,000 km	Like new
520	 TVS Apache RTR 160 4V	2018	Rs. 	150000.0	160		Sports	42,000 km	Used
521	 Bajaj Discover 125 ST	2023	Rs. 	150000.0	125		Commuter	12,000 km	Used
522	 Honda CB Shine	2013	Rs. 	150000.0	124		Commuter	32,000 km	Like new
523	 Bajaj Pulsar 150TD	2020	Rs. 	150000.0	150		Commuter	29,000 km	Used
524	 Bajaj NS 200 FI ABS	2020	Rs. 	150000.0	200		Sports Naked	24,000 km	Like new
525	 Bajaj Pulsar NS 200	2018	Rs. 	150000.0	200		Sports Naked	30,000 km	Used
526	 Benelli TNT 150i	2021	Rs. 	150000.0	148		Sports Naked	22,400 km	
527	 Bajaj Pulsar 150TD	2019	Rs. 	150000.0	150		Commuter	26,000 km	Like new
528	 Bajaj Pulsar NS 160	2021	Rs. 	150000.0	160		Sports Naked	30,000 km	Like new
529	 Bajaj Pulsar 220F	2014	Rs. 	150000.0	220		Sports	74,148 km	Used
530	 TVS Apache RTR 200 4V	2016	Rs. 	150000.0	198		Sports	40,000 km	Like new
531	 Bajaj Pulsar NS 160	2020	Rs. 	150000.0	160		Sports Naked	32,000 km	Used
532	 Aprilia SR 150	2019	Rs. 	150000.0	150		Scooter	27 km	Used
533	 Bajaj Pulsar 150	2018	Rs. 	150000.0	150		Sports Naked	34,000 km	Used
534	 Bajaj Pulsar 150	2018	Rs. 	150000.0	150		Sports Naked	34,000 km	Used
535	 Bajaj Pulsar 220F	2018	Rs. 	150000.0	220		Sports	38,000 km	Used
536	 Bajaj NS 200 FI ABS	2018	Rs. 	150000.0	200		Sports Naked	45,000 km	Used
537	 Benelli TNT 150i	2021	Rs. 	150000.0	148		Sports Naked	22,000 km	Used
538	 Bajaj Pulsar NS 200	2016	Rs. 	150000.0	200		Sports Naked	50,000 km	Like new
539	 Aprilia SR 150	2022	Rs. 	150000.0	150		Scooter	22,000 km	Used
540	 Honda CB Shine SP	2018	Rs. 	150000.0	124		Commuter	41,763 km	Used
541	 Benelli TNT 15	2019	Rs. 	150000.0	148		Commuter	40,000 km	Like new
542	 TVS Apache RTR 200 4V	2018	Rs. 	150000.0	198		Sports	42,000 km	Like new
543	 Yamaha Saluto	2076	Rs. 	150000.0	125		Commuter	15,000 km	Like new
544	 TVS Apache RTR 160 4V	2019	Rs. 	150000.0	160		Sports	50,000 km	Used
545	 Bajaj Pulsar 220F	2016	Rs. 	150000.0	220		Sports	40,000 km	Like new
546	 Yamaha SZ-RR	2019	Rs. 	150000.0	149		Commuter	21,000 km	Brand new
547	 Bajaj Pulsar 150	2020	Rs. 	150000.0	150		Sports Naked	35,000 km	
548	 Bajaj Pulsar 220F	2018	Rs. 	150000.0	220		Sports	38,000 km	Used
549	 Honda Dio	2018	Rs. 	150000.0	110		Scooter	1,40,000 km	Like new
550	 Benelli TNT 150i	2021	Rs. 	150000.0	148		Sports Naked	22,400 km	Used
551	 Benelli TNT 15	2020	Rs. 	150000.0	148		Commuter	18,000 km	Like new
552	 ItalicaMoto Formula 150	2020	Rs. 	150000.0	150		Scooter	16,500 km	Used
553	 TVS Apache RTR 200 4V	2016	Rs. 	150000.0	198		Sports	45,442 km	Like new
554	 Benelli TNT 15	2019	Rs. 	150000.0	148		Commuter	40,000 km	Used
555	 Hero Destini 125	2021	Rs. 	150000.0	125		Scooter	17,500 km	Like new
556	 Bajaj Pulsar NS 160	2020	Rs. 	150000.0	160		Sports Naked	32,000 km	Used
557	 Bajaj NS 200 FI ABS	2020	Rs. 	150000.0	200		Sports Naked	24,000 km	Used
558	 Bajaj Pulsar NS 160	2021	Rs. 	150000.0	160		Sports Naked	30,000 km	Used
559	 TVS Apache RTR 160 4V	2021	Rs. 	150000.0	160		Sports	17,000 km	Used
560	 Benelli TNT 25	2016	Rs. 	150000.0	249		Sports Naked	29,239 km	Used
561	 Vespa VXL	2017	Rs. 	150000.0	150		Scooter	35,000 km	Used
562	 Yamaha FZS V1	2023	Rs. 	150000.0				4,036 km	Used
563	 TVS Raider 125	2022	Rs. 	150000.0	125		Commuter	200 km	Brand new
564	 TVS Apache RTR 160 4V	2018	Rs. 	150000.0	160		Sports	42,000 km	Used
565	 Aprilia SR 150	2019	Rs. 	150000.0	150		Scooter	27 km	Used
566	 TVS Apache RTR 200 4V	2016	Rs. 	150000.0	198		Sports	40,000 km	Used
567	 Bajaj Pulsar 150	2019	Rs. 	150000.0	150		Sports Naked	12,500 km	Used
568	 Bajaj Pulsar 150TD	2019	Rs. 	150000.0	150		Commuter	26,000 km	
569	 Bajaj Pulsar 220F	2018	Rs. 	150000.0	220		Sports	38,000 km	Like new
570	 Bajaj Pulsar 220F	2017	Rs. 	150000.0	220		Sports	53,000 km	Like new
571	 Bajaj Pulsar 150TD	2019	Rs. 	150000.0	150		Commuter	36,000 km	Used
572	 Benelli TNT 150i	2019	Rs. 	150000.0	148		Sports Naked	17,300 km	Used
573	 Bajaj Pulsar 150	2018	Rs. 	150000.0	150		Sports Naked	18,000 km	Used
574	 Bajaj Pulsar NS 200	2018	Rs. 	150000.0	200		Sports Naked	52,000 km	Used
575	 Bajaj Pulsar 150	2019	Rs. 	150000.0	150		Sports Naked	92,000 km	Used
576	 Bajaj Pulsar 220F	2018	Rs. 	150000.0	220		Sports	38,000 km	Used
577	 Bajaj Pulsar 150	2018	Rs. 	150000.0	150		Sports Naked	34,000 km	Used
578	 Benelli TNT 150i	2021	Rs. 	150000.0	148		Sports Naked	22,400 km	Used
579	 Bajaj Pulsar 150	2020	Rs. 	150000.0	150		Sports Naked	35,000 km	Like new
580	 Honda Dio	2018	Rs. 	150000.0	110		Scooter	1,40,000 km	Used
581	 Bajaj NS 400	2016	Rs. 	150000.0	373		Sports Naked	33,103 km	Used
582	 TVS Ntorq 125 Drum	2020	Rs. 	153000.0	125		Scooter	30,000 km	Like new
583	 Honda CB Shine	2018	Rs. 	154900.0	124		Commuter	11,000 km	Used
584	 Honda CB Shine	2019	Rs. 	155000.0	124		Commuter	16,000 km	Used
585	 TVS Apache RTR 160 4V	2019	Rs. 	155000.0	160		Sports	29,000 km	Used
586	 Bajaj Pulsar 150	2019	Rs. 	155000.0	150		Sports Naked	24,000 km	Used
587	 CFMoto 150NK	2020	Rs. 	155000.0	150		Sports Naked	11,417 km	Used
588	 Honda CB Shine	2020	Rs. 	155000.0	124		Commuter	20,000 km	Used
589	 Benelli TNT 150i	2021	Rs. 	155000.0	148		Sports Naked	27,000 km	
590	 Honda Dio	2021	Rs. 	155000.0	110		Scooter	2,170 km	Like new
591	 Bajaj Pulsar NS 200	2017	Rs. 	155000.0	200		Sports Naked	29,000 km	Used
592	 Bajaj Pulsar 150	2019	Rs. 	155000.0	150		Sports Naked	14,000 km	Used
593	 Honda CB Shine	2019	Rs. 	155000.0	124		Commuter	20,000 km	Used
594	 TVS Apache RTR 160 4V	2019	Rs. 	155000.0	160		Sports	29,000 km	Used
595	 Honda Aviator	2020	Rs. 	155000.0	110		Scooter	16,500 km	Used
596	 TVS Apache RTR 200 4V	2018	Rs. 	155000.0	198		Sports	40,000 km	Used
597	 Bajaj Pulsar 220F	2018	Rs. 	155000.0	220		Sports	35,000 km	Like new
598	 CFMoto 150NK	2020	Rs. 	155000.0	150		Sports Naked	11,417 km	Used
599	 Honda Dio	2019	Rs. 	155000.0	110		Scooter	23,500 km	Used
600	 Honda Dio	2020	Rs. 	155000.0	110		Scooter	22,000 km	Used
601	 Yamaha FZS V2	2018	Rs. 	157000.0	149		Sports Naked	25,000 km	Like new
602	 Yamaha FZS V2	2018	Rs. 	157000.0	149		Sports Naked	31,000 km	Used
603	 Aprilia SR 125	2021	Rs. 	158000.0	125		Scooter	12,000 km	Used
604	 TVS Ntorq 125 Race Edition FI BSVI	2020	Rs. 	160000.0	125		Scooter	24,000 km	Like new
605	 Motorhead X Torque 250	2020	Rs. 	160000.0	250		Dirt	14,000 km	Used
606	 Honda Activa 125	2018	Rs. 	160000.0	124		Scooter	36,521 km	Used
607	 TVS Ntorq 125 Drum	2021	Rs. 	160000.0	125		Scooter	14,420 km	Like new
608	 Suzuki Gixxer 150	2018	Rs. 	160000.0	155		Sports	24,000 km	Used
609	 Yamaha FZ 25	2018	Rs. 	160000.0	249		Sports Naked	21,000 km	Used
610	 Bajaj Pulsar NS 200 ABS	2020	Rs. 	160000.0	200		Sports Naked	26,000 km	
611	 Bajaj Pulsar 220F	2017	Rs. 	160000.0	220		Sports	50 km	Used
612	 Aprilia Storm 125	2021	Rs. 	160000.0	125		Scooter	7,000 km	Used
613	 Yamaha FZ 25	2017	Rs. 	160000.0	249		Sports Naked	50,000 km	Used
614	 Bajaj Pulsar 125	2021	Rs. 	160000.0	125		Sports Naked	16,000 km	Used
615	 TVS Ntorq 125 Disc	2022	Rs. 	160000.0	125		Scooter	14,000 km	Used
